property,group,factory,value_class,accepted_values,tokenable
outlineStyle,outlineStyle,CSSGrouppedPropertyFactory,,,
outlineColor,outlineStyle,CSSGrouppedPropertyFactory,CSSColorProperty,,
outlineOffset,outlineStyle,CSSGrouppedPropertyFactory,CSSCollectionVariableProperty,,yes
boxShadow,,CSSBoxShadowStylePropertyFactory,,,
opacity,,CSSPropertyFactory,,,
visibility,,CSSPropertyFactory,,visible|hidden,
overflow,,CSSPropertyFactory,,visible|hidden|clip|scroll|auto,
filter,,CSSFilterStylePropertyFactory,,,
backdropFilter,,CSSBackdropFilterPropertyFactory,,,
transform,,CSSTransformPropertyFactory,,,
translate,,CSSTranslateStylePropertyFactory,,,
rotate,,CSSRotateStylePropertyFactory,,,
transformOrigin,,CSSTransformOriginStylePropertyFactory,,,
transformStyle,,CSSPropertyFactory,,flat|preserve-3d,
transition,,CSSTransitionPropertyFactory,,,
mask,,CSSMaskStylePropertyFactory,,,
perspectiveOrigin,,CSSPerspectiveOriginStylePropertyFactory,,,
objectFitStyle,,CSSObjectFitStylePropertyFactory,,,
mixBlendMode,,CSSPropertyFactory,,normal|multiply|screen|overlay|darken|lighten|color-dodge|color-burn|hard-light|soft-light|difference|exclusion|hue|saturation|color|luminosity,
boxSizing,,CSSPropertyFactory,,border-box|content-box,
aspectRatio,,CSSPropertyFactory,,,
backgroundColor,,CSSColorPropertyFactory,,,yes
backgroundStyle,,CSSBackgroundStylePropertyFactory,,,
cursor,,CSSPropertyFactory,,auto|default|none|context-menu|help|pointer|progress|wait|cell|crosshair|text|vertical-text|alias|copy|move|no-drop|not-allowed|grab|grabbing|e-resize|n-resize|ne-resize|nw-resize|s-resize|se-resize|sw-resize|w-resize|ew-resize|ns-resize|nesw-resize|nwse-resize|col-resize|row-resize|all-scroll|zoom-in|zoom-out|inherit|initial|revert|revert-layer|unset,
customStyles,,CSSCustomStylePropertyFactory,,,
