type,property,owner_class,creator,probe_value,is_enum,outcome,detail
text,tagName,TextElementMResourceData,createDataSimple,MPROP0116X,,NO_EFFECT,
text-input,type,InputTextElementMResourceData,createDataSimple,MPROP0117X,,NO_EFFECT,
text-input,nameAttribute,InputTextElementMResourceData,createDataSimple,MPROP0118X,,HTML,
text-input,defaultValue,InputTextElementMResourceData,createDataSimple,MPROP0119X,,NO_EFFECT,
text-input,required,InputTextElementMResourceData,createDataSimple,7,,NO_EFFECT,
text-input,readonly,InputTextElementMResourceData,createDataSimple,7,,NO_EFFECT,
text-input,disabled,InputTextElementMResourceData,createDataSimple,7,,HTML,
text-input,placeholderText,InputTextElementMResourceData,createDataSimple,MPROP0123X,,HTML,
text-input,autocomplete,InputTextElementMResourceData,createDataSimple,MPROP0124X,,NO_EFFECT,
text-input,logging,InputTextElementMResourceData,createDataSimple,store,yes,INCONCLUSIVE,
textarea-input,nameAttribute,TextAreaElementMResourceData,createDataSimple,MPROP0126X,,HTML,
textarea-input,defaultValue,TextAreaElementMResourceData,createDataSimple,MPROP0127X,,NO_EFFECT,
textarea-input,placeholderText,TextAreaElementMResourceData,createDataSimple,MPROP0128X,,HTML,
textarea-input,minlength,TextAreaElementMResourceData,createDataSimple,7,,HTML,
textarea-input,maxlength,TextAreaElementMResourceData,createDataSimple,7,,HTML,
textarea-input,autocomplete,TextAreaElementMResourceData,createDataSimple,MPROP0131X,,NO_EFFECT,
textarea-input,required,TextAreaElementMResourceData,createDataSimple,7,,NO_EFFECT,
textarea-input,logging,TextAreaElementMResourceData,createDataSimple,store,yes,INCONCLUSIVE,
video,video,VideoElementMResourceData,createDataSimple,https://example.com/MPROP0134X,,HTML,
video,sources,VideoElementMResourceData,createDataSimple,MPROP0135X,,NO_EFFECT,
video,autoplay,VideoElementMResourceData,createDataSimple,0,yes,INCONCLUSIVE,
video,muted,VideoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
video,loop,VideoElementMResourceData,createDataSimple,0,yes,INCONCLUSIVE,
video,controls,VideoElementMResourceData,createDataSimple,0,yes,INCONCLUSIVE,
video,playsinline,VideoElementMResourceData,createDataSimple,0,yes,INCONCLUSIVE,
video,width,VideoElementMResourceData,createDataSimple,7,,HTML,
video,height,VideoElementMResourceData,createDataSimple,7,,NO_EFFECT,
video,preload,VideoElementMResourceData,createDataSimple,auto,yes,ENUM_APPLIED,
video,poster,VideoElementMResourceData,createDataSimple,https://example.com/MPROP0144X,,HTML,
video,threshold,VideoElementMResourceData,createDataSimple,7,,NO_EFFECT,
vimeo,vimeoUrl,VimeoElementMResourceData,createDataSimple,MPROP0146X,,NO_EFFECT,
vimeo,autoplay,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,muted,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,controls,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,playsinline,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,privacy,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,lazyLoad,VimeoElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
vimeo,startTime,VimeoElementMResourceData,createDataSimple,MPROP0153X,,NO_EFFECT,
vimeo,threshold,VimeoElementMResourceData,createDataSimple,7,,HTML,
wpContent,content,WPContentElementMResourceData,createDataSimple,MPROP0155X,,NO_EFFECT,
wpShortcode,shortcode,WPShortcodeElementMResourceData,createDataSimple,MPROP0156X,,HTML,
wysiwyg-link,url,WysiwygLinkElementMResourceData,createDataSimple,https://example.com/MPROP0157X,,HTML,
wysiwyg-link,target,WysiwygLinkElementMResourceData,createDataSimple,_self,yes,NO_EFFECT,
wysiwyg-link,rel,WysiwygLinkElementMResourceData,createDataSimple,MPROP0159X,,NO_EFFECT,
youtube,youtubeUrl,YouTubeElementMResourceData,createDataSimple,MPROP0160X,,NO_EFFECT,
youtube,autoplay,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,muted,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,controls,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,playsinline,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,privacy,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,lazyLoad,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,startTime,YouTubeElementMResourceData,createDataSimple,MPROP0167X,,NO_EFFECT,
youtube,suggestedVideos,YouTubeElementMResourceData,createDataSimple,0,yes,ENUM_APPLIED,
youtube,threshold,YouTubeElementMResourceData,createDataSimple,7,,HTML,
