url,attrID,breakpoint,property,declared,compiled,status
https://mosaic.moksaweb.com/moksa/,process,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,process,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-pad,_m,padding-top,56px,56px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-head,_m,grid-template-columns,48px 1fr,48px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-track,_m,margin-top,34px,34px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-grid,_t,grid-template-columns,"repeat(2, 1fr)","repeat(2, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-proc-grid,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-proc-0,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-0,_m,padding-right,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-1,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-1,_m,padding-right,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-2,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-2,_m,padding-right,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-3,_m,padding-top,20px,20px,verified
https://mosaic.moksaweb.com/moksa/,mk-proc-3,_m,padding-right,0px,0px,verified
https://mosaic.moksaweb.com/moksa/,figure,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,figure,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,figure,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,figure,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-pad,_m,padding-top,54px,54px,verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-pad,_m,padding-bottom,54px,54px,verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-grid,_t,grid-template-columns,1fr 34px 1fr 34px 1fr,1fr 34px 1fr 34px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-grid,_m,grid-template-columns,"repeat(1, 1fr)","repeat(1, 1fr)",verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-grid,_m,row-gap,8px,8px,verified
https://mosaic.moksaweb.com/moksa/,mk-fig2-grid,_m,margin-top,24px,24px,verified
https://mosaic.moksaweb.com/moksa/,mk-ar-a-0,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,mk-ar-b-0,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,mk-ar-a-1,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,mk-ar-b-1,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,mk-ar-a-2,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,mk-ar-b-2,_m,transform,rotate(90deg),rotate(90deg),verified
https://mosaic.moksaweb.com/moksa/,works,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,works,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,works,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,works,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-works-pad,_m,padding-top,56px,56px,verified
https://mosaic.moksaweb.com/moksa/,mk-works-head,_m,grid-template-columns,48px 1fr,48px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-works-table,_m,margin-top,32px,32px,verified
https://mosaic.moksaweb.com/moksa/,mk-works-thead,_m,display,none,none,verified
https://mosaic.moksaweb.com/moksa/,mk-work-0,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-0,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-0,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-0,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-1,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-1,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-1,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-1,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-2,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-2,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-2,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-2,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-3,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-3,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-3,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-3,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-4,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-4,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-4,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-4,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-5,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-5,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-5,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-5,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-6,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-6,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-6,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-6,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-7,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-7,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-7,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-7,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-8,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-work-8,_m,row-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-8,_m,padding-top,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-work-8,_m,padding-bottom,15px,15px,verified
https://mosaic.moksaweb.com/moksa/,mk-pan,_m,padding-top,22px,22px,verified
https://mosaic.moksaweb.com/moksa/,mk-pan,_m,padding-bottom,22px,22px,verified
https://mosaic.moksaweb.com/moksa/,mk-pan-loop,_m,column-gap,30px,30px,verified
https://mosaic.moksaweb.com/moksa/,specimen,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,specimen,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,specimen,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,specimen,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-pad,_m,padding-top,58px,58px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-pad,_m,padding-bottom,58px,58px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-rows,_m,margin-top,26px,26px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-0,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-0,_m,row-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-0,_m,padding-top,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-0,_m,padding-bottom,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-1,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-1,_m,row-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-1,_m,padding-top,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-1,_m,padding-bottom,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-2,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-2,_m,row-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-2,_m,padding-top,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-2,_m,padding-bottom,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-3,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-3,_m,row-gap,6px,6px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-3,_m,padding-top,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-spec2-r-3,_m,padding-bottom,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,stack,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,stack,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,stack,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,stack,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-pad,_m,padding-top,56px,56px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-head,_m,grid-template-columns,48px 1fr,48px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-list,_m,margin-top,32px,32px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-0,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-0,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-0,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-0,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-1,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-1,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-1,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-1,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-2,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-2,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-2,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-2,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-3,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-3,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-3,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-3,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-4,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-4,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-4,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-4,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-5,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-5,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-5,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-5,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-6,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-6,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-6,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-6,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-7,_m,grid-template-columns,1fr,1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-7,_m,row-gap,10px,10px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-7,_m,padding-top,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,mk-stack-7,_m,padding-bottom,16px,16px,verified
https://mosaic.moksaweb.com/moksa/,board,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,board,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,board,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,board,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-board-pad,_m,padding-top,48px,48px,verified
https://mosaic.moksaweb.com/moksa/,mk-board-pad,_m,padding-bottom,48px,48px,verified
https://mosaic.moksaweb.com/moksa/,mk-board-row,_m,column-gap,14px,14px,verified
https://mosaic.moksaweb.com/moksa/,mk-board-row,_m,margin-top,24px,24px,verified
https://mosaic.moksaweb.com/moksa/,mk-board-code,_m,column-gap,5px,5px,verified
https://mosaic.moksaweb.com/moksa/,products,_t,padding-left,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,products,_t,padding-right,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,products,_m,padding-left,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,products,_m,padding-right,18px,18px,verified
https://mosaic.moksaweb.com/moksa/,mk-prod-pad,_m,padding-top,54px,54px,verified
https://mosaic.moksaweb.com/moksa/,mk-prod-pad,_m,padding-bottom,54px,54px,verified
https://mosaic.moksaweb.com/moksa/,mk-prod-head,_m,grid-template-columns,48px 1fr,48px 1fr,verified
https://mosaic.moksaweb.com/moksa/,mk-prod-list,_m,margin-top,28px,28px,verified
https://mosaic.moksaweb.com/moksa/,mk-prod-0,_t,grid-template-columns,72px 1fr 1.2fr,72px 1fr 1.2fr,verified
