state,scope,host,selector_template,status,evidence
___field-set--invalid,node-type,fieldset,&:has(:user-invalid),COMPILED,.M_EL7:has(:user-invalid)
___fileupload-input--selector-button,node-type,fileupload-input,&::file-selector-button,COMPILED,.M_EL7::file-selector-button
___fileupload-input--selector-button-hover,node-type,fileupload-input,&::file-selector-button:hover,COMPILED,.M_EL8::file-selector-button:hover
___form--error,node-type,form-wrapper,"&[data-form-state=""error""]",COMPILED,".M_EL7[data-form-state=""error""]"
___form--invalid-within,node-type,form-wrapper,.M_EL_FormWrapper:where(:has(:user-invalid)) &,COMPILED,.M_EL_FormWrapper:where(:has(:user-invalid)) .M_EL10
___input--placeholder,node-type,text-input,&.M_EL_InputText::placeholder,COMPILED,.M_EL7.M_EL_InputText::placeholder
___loop_element_no_result,node-type,loop,&.M_EL_Loop--no-result,NO_HOST,host loop is COMMIT_500 - committing it breaks the page
___loop_pagination_button--disabled,node-type,loop-pagination-button-next,&.M_EL_LoopPaginationButton--disabled,BROKE_PAGE,this host's page did not render
___menu-link--current,node-type,menu-link,&.M_EL_MenuLink--current,COMPILED,.M_EL7.M_EL_MenuLink--current
___navbar--dropdown-mode,node-type,navbar,"&:where(.M_EL_Navbar.dropdown-mode,.M_EL_Navbar.dropdown-mode &)",COMPILED,".M_EL7:where(.M_EL_Navbar.dropdown-mode,.M_EL_Navbar.dropdown-mode .M_EL7)"
___navbar--opened,node-type,navbar,.dropdown-mode:where(.M_EL_Navbar.dropdown--opened) &,COMPILED,.dropdown-mode:where(.M_EL_Navbar.dropdown--opened) .M_EL8
___navbar--opening,node-type,navbar,.dropdown-mode:where(.M_EL_Navbar.dropdown--opening) &,COMPILED,.dropdown-mode:where(.M_EL_Navbar.dropdown--opening) .M_EL9
___nested_dropdown_mode,node-type,,"&:where(.dropdown-mode .M_EL_Navigation .M_EL_Dropdown &, .M_EL_Dropdown .M_EL_Dropdown &):not(x)",SKIPPED,no node type declares Mosaic/NodeTypes/Menu/Dropdown/DropdownElementTypeFactoryAbstract.php
___radio-input--checked,node-type,radio-input,&:checked,NO_HOST,host radio-input is BROKE_PAGE - committing it breaks the page
___radio-input--checkmark,node-type,radio-input,&:checked::before,NO_HOST,host radio-input is BROKE_PAGE - committing it breaks the page
___select-input-option,node-type,select-input,"&.M_EL_Select:where(:has(option:not(:disabled):checked)), &.M_EL_Select :where(option)",COMPILED,".M_EL7.M_EL_Select:where(:has(option:not(:disabled):checked)), .M_EL7.M_EL_Select :where(o"
___select-input-option--disabled,node-type,select-input,"&.M_EL_Select:where(:has(option:disabled:checked)), &.M_EL_Select :where(option:disabled)",COMPILED,".M_EL8.M_EL_Select:where(:has(option:disabled:checked)), .M_EL8.M_EL_Select :where(option:"
___slide--active,node-type,slider-slide,.M_EL_SliderSlide--active > &,NO_HOST,host slider-slide is BROKE_PAGE - committing it breaks the page
___slider_navigation_bullet--active,node-type,slider-navigation-bullet,&.M_EL_SliderNavigationBullet--active,NO_HOST,host slider-navigation-bullet is COMMIT_500 - committing it breaks the page
___slider_navigation_bullet--hover,node-type,slider-navigation-bullet,&:not(.M_EL_SliderNavigationBullet--active):HOVER,NO_HOST,host slider-navigation-bullet is COMMIT_500 - committing it breaks the page
___step--active,node-type,form-multi-steps-step,&.M_EL_Step--active,COMPILED,.M_EL7.M_EL_Step--active
___step--active___descendants,node-type,form-multi-steps-step,.M_EL_Step--active &,COMPILED,.M_EL_Step--active .M_EL8
___step--completed,node-type,form-multi-steps-step,&.M_EL_Step--completed,COMPILED,.M_EL9.M_EL_Step--completed
___step--completed___descendants,node-type,form-multi-steps-step,.M_EL_Step--completed &,COMPILED,.M_EL_Step--completed .M_EL10
___submit-button--busy,node-type,submit-button,"&[aria-busy=""true""]",COMPILED,".M_EL7[aria-busy=""true""]"
___tab--active,node-type,tabs-tab,&.M_EL_Tab--active,NO_HOST,host tabs-tab is BROKE_PAGE - committing it breaks the page
___tab--active___descendants,node-type,tabs-tab,.M_EL_Tab--active &,NO_HOST,host tabs-tab is BROKE_PAGE - committing it breaks the page
___textarea-input--placeholder,node-type,textarea-input,&.M_EL_TextArea::placeholder,COMPILED,.M_EL7.M_EL_TextArea::placeholder
